Title,Developer/Provider,Category,URL,Embed URL (in-app),Description
Cerkio,GamePix,ball,https://play.gamepix.com/cerkio/,https://play.gamepix.com/cerkio/embed?sid=U274U,"Cerkio invites you into a minimalist world where precision meets relaxation. Test your timing as you launch a ball into a target across 30 increasingly complex levels. With soothing music and intuitive one-touch controls, experience a challenging yet calming escape. Perfect your skills and master one-hand gameplay."
Gelatino,GamePix,arcade,https://play.gamepix.com/gelatino/,https://play.gamepix.com/gelatino/embed?sid=U274U,"Guide a courageous popsicle on a cooling adventure in Gelatino! Swing past traps, snag ice cubes, and dodge bushels of blazing heat to extend your minty fresh expedition. Precise movement and on-the-fly strategy keep the popsicle intact as you zigzag through sun-soaked lands. Will you melt or prevail?"
Penalty Kick Wiz,GamePix,sports,https://play.gamepix.com/penalty-kick-wiz/,https://play.gamepix.com/penalty-kick-wiz/embed?sid=U274U,"Step into the adrenaline-filled duel of Penalty Kick Wiz, where every shot and save is a crucial dance of precision and anticipation. Master the art of split-second decisions, outwit your opponent, and seize victory through strategic plays that test both your mental and physical reflexes."
Merge Mine - Idle Clicker,GamePix,adventure,https://play.gamepix.com/merge-mine-idle-clicker/,https://play.gamepix.com/merge-mine-idle-clicker/embed?sid=U274U,"Unleash your inner miner in Merge Mine - Idle Clicker. Tap into a diamond-rich vein, strategically upgrade tools, and merge them for enhanced mining power. Experience the thrill of turning hard work into shiny rewards, as you automate your mining empire and watch diamonds accumulate, even while you're away."
Stickman Warriors,GamePix,fighting,https://play.gamepix.com/stickman-warriors-1/,https://play.gamepix.com/stickman-warriors-1/embed?sid=U274U,"Unleash your inner stickman hero in Stickman Warriors, a thrilling fighting RPG. Ascend the ranks by mastering combat against powerful Saints. Maximize your strategy with daily rewards and diverse stickman attributes. Battle your way to the ultimate S rank and become the supreme stickman warrior!"
Kobadoo Numbers,GamePix,memory,https://play.gamepix.com/kobadoo-numbers/,https://play.gamepix.com/kobadoo-numbers/embed?sid=U274U,"Strengthen your mind with Kobadoo Numbers, a captivating browser game. Challenge yourself to memorize increasingly difficult two-digit sequences and enhance your cognitive abilities in a fun way. Unlock the potential of your working memory as you improve your focus, attention, and mental agility while enjoying this addictive experience."
Stickman Street Fighting 3D,GamePix,fighting,https://play.gamepix.com/stickman-street-fighting/,https://play.gamepix.com/stickman-street-fighting/embed?sid=U274U,"Get ready to dominate the streets as a fearless stickman in Stickman Street Fighting 3D! This intense brawler challenges you to crush foes with strategic blows and quick reflexes. Break objects for unexpected power-ups, wield weapons for added punch, and prove you're the toughest stickman around."
Flamit,GamePix,adventure,https://play.gamepix.com/flamit/,https://play.gamepix.com/flamit/embed?sid=U274U,"Flamit puts your reflexes to the test in a swift race against a dwindling flame. Navigate 30 challenging, icy levels, lighting torches before time extinguishes your hopes. Strategize through snowy obstacles, evade icy enemies, and conquer two distinct game modes for an adrenaline-pumping experience."
Morphit,GamePix,arcade,https://play.gamepix.com/morphit/,https://play.gamepix.com/morphit/embed?sid=U274U,"Morphit is an exhilarating arcade challenge where you must quickly morph your shape to overcome incoming obstacles. Engage your reflexes and precision in a vibrant, fast-paced environment, mastering the art of timing in a world that tests your adaptability at every turn. Stay alert, adapt, and survive the thrill!"
Robot Band - Find the differences,GamePix,puzzle,https://play.gamepix.com/robot-band-find-the-differences/,https://play.gamepix.com/robot-band-find-the-differences/embed?sid=U274U,Enter a whimsical world of musical robots in Robot Band - Find the Differences. Test your observation skills as you uncover subtle discrepancies in images. Progress through engaging levels with a keen eye and patience. Dive into this charming adventure where every discovery counts!
Sokoballs,GamePix,ball,https://play.gamepix.com/sokoballs/,https://play.gamepix.com/sokoballs/embed?sid=U274U,"Sokoballs offers a delightful puzzle adventure where each level tests your strategic skills. Carefully maneuver balls onto switches using intuitive controls while enjoying vintage pixel art. As difficulty elevates, planning ahead becomes key to solving these increasingly challenging puzzles. Embrace the cerebral journey and relish the art of problem-solving."
Going Right,GamePix,animal,https://play.gamepix.com/going-right/,https://play.gamepix.com/going-right/embed?sid=U274U,"Embark on a thrilling aerial journey as you guide a determined bird back to its nest in ""Going Right."" Navigate through dynamic obstacles using intuitive one-touch controls. Embrace the challenge across multiple modes, collect coins for customization, and strategize your taps to master this addictive arcade adventure."
Funny Shooter 2,GamePix,shooter,https://play.gamepix.com/funny-shooter-2/,https://play.gamepix.com/funny-shooter-2/embed?sid=U274U,"Dive into the zany chaos of Funny Shooter 2, where every battle is a laugh-filled thrill ride. Face off against quirky enemies, upgrade your arsenal with endless customization options, and explore a whimsical world bursting with personality. This action-packed adventure is a hilariously unique gaming experience."
Canjump,GamePix,fun,https://play.gamepix.com/canjump/,https://play.gamepix.com/canjump/embed?sid=U274U,"Leap into a thrilling arcade adventure with Canjump! Master the art of well-timed jumps as a monster navigating perilous terrains. With only one button to control, sharpen your reflexes to conquer increasingly tough obstacles and enemies, all while aiming for the highest score in this endlessly entertaining challenge."
TenTrix,GamePix,block,https://play.gamepix.com/tentrix/,https://play.gamepix.com/tentrix/embed?sid=U274U,"Unleash your strategic prowess in TenTrix, a compelling blend of simplicity and creativity. Effortlessly arrange falling blocks on a 10x10 grid to clear lines and score points. With unrotatable shapes and endless possibilities, it's a fresh twist on classic Tetris, offering endless fun on both PC and mobile."
My First 100 Words,GamePix,educational,https://play.gamepix.com/my-100-first-words/,https://play.gamepix.com/my-100-first-words/embed?sid=U274U,"Immerse your child in ""My First 100 Words,"" a vibrant language adventure! They will explore multiple languages through playful interactions, spotting emojis while hearing correct pronunciations. With increasing challenges, they’ll build vocabulary and cultural awareness, making learning a captivating journey. Watch them thrive as they start a multilingual quest!"
Moto X3M: Spooky Land,GamePix,racing,https://play.gamepix.com/moto-x3m-spooky-land/,https://play.gamepix.com/moto-x3m-spooky-land/embed?sid=U274U,"Dive into the eerie thrills of Moto X3M: Spooky Land, where every turn is a challenge against the supernatural. Master gravity-defying stunts on spooky tracks, dodge bone-rattling obstacles, and ride like the wind to unlock creepy new gear. Can you handle the haunting speed and survive the ghoulish adventure?"
Slope Racing 3D,GamePix,ball,https://play.gamepix.com/slope-racing-3d/,https://play.gamepix.com/slope-racing-3d/embed?sid=U274U,"Experience exhilarating speed as you guide a relentless ball down a vibrant, ever-changing slope. Navigate through dynamic obstacles, hit boost pads, and gather gems while skillfully using power-ups. With endless ramps and increasing challenges, Slope Racing 3D offers a fast-paced thrill ride testing your reflexes and precision."
Kobadoo Shapes,GamePix,trivia,https://play.gamepix.com/kobadoo-shapes/,https://play.gamepix.com/kobadoo-shapes/embed?sid=U274U,"Kobadoo Shapes challenges you to memorize and replicate sequences of vibrant shapes, enhancing your memory while delivering a rewarding mental workout. With its addictive mechanics and engaging visuals, this game invites players of all ages to relax and focus as difficulty ramps up across multiple levels."
Royal Couple Halloween Party,GamePix,kids,https://play.gamepix.com/royal-couple-halloween-party/,https://play.gamepix.com/royal-couple-halloween-party/embed?sid=U274U,"Step into a whimsical world where creating enchanting Halloween outfits for royal couples is your mission. With vibrant graphics and easy point-and-click controls, mix and match wardrobes to craft unique, thematic ensembles. Unleash your creativity as you turn the festive night into a magical masterpiece."
Epic Duck,GamePix,arcade,https://play.gamepix.com/epic-duck/,https://play.gamepix.com/epic-duck/embed?sid=U274U,"Embark on an adventurous journey with Epic Duck, where clever exploration and precise timing lead to success. Navigate charming levels, uncover hidden keys, and unlock doorways to progress, all while honing your puzzle-solving skills. With engaging challenges and delightful visuals, it's a delightful test of strategy and reflexes."
Injection Invasion,GamePix,arcade,https://play.gamepix.com/injection-invasion/,https://play.gamepix.com/injection-invasion/embed?sid=U274U,"Dodge and weave in Injection Invasion, an exciting platformer where quick reflexes and strategy are essential. Guide a boy through a perilous world filled with incoming injections, using precision and timing to survive. Master the art of evasive maneuvers and see how long you can last!"
Santabalt,GamePix,christmas,https://play.gamepix.com/santabalt/,https://play.gamepix.com/santabalt/embed?sid=U274U,"Dive into the festive spirit with Santabalt, an exhilarating endless runner with Santa at the helm. Leap between rooftops, dodging obstacles at thrilling speed with just a tap or click. Hone your timing and reflexes, extending Santa's journey in this addictive holiday adventure loaded with jolly excitement."
Hoop World,GamePix,basketball,https://play.gamepix.com/hoop-world/,https://play.gamepix.com/hoop-world/embed?sid=U274U,"In Hoop World, become a master of aerial acrobatics with precision mouse clicks. Soar through the air, nail flipping dunks, and outshine with style. Simple controls meet spectacular moves, making each perfect dunk a thrilling achievement in this dynamic 3D basketball experience."
Car Crash Test,GamePix,arcade,https://play.gamepix.com/car-crash-test/,https://play.gamepix.com/car-crash-test/embed?sid=U274U,"Unleash chaos in Car Crash Test, where the thrill of spectacular automotive destruction meets real-time physics and stunning 3D graphics. Earn coins through strategic demolition, unlock new cars, and explore challenging tracks. Master time dilation and unleash explosive wrecks in this endlessly enticing and adrenaline-pumping experience."
Run & Jump Jumbo Runner,GamePix,arcade,https://play.gamepix.com/ran-and-jump-jambo-runner/,https://play.gamepix.com/ran-and-jump-jambo-runner/embed?sid=U274U,"Race through dynamic terrains in Run & Jump Jumbo Runner, where precision and timing are your allies. As you fly and dodge obstacles, each quick tap unlocks faster speeds and thrilling challenges. Master the exhilarating arcade action and discover the addictive thrills of gravity-defying runs and flights."
Spinning Oia Oia Cat Bricker,GamePix,block,https://play.gamepix.com/spinning-oia-oia-cat-bricker/,https://play.gamepix.com/spinning-oia-oia-cat-bricker/embed?sid=U274U,"Join the energetic Oia Oia cat in a vivid brick-breaking adventure where vibrant visuals and lively meows propel you forward. Master your aim, shatter bricks with precision, and groove through each escalating level, all while soaking up the dynamic, cheering atmosphere for an endlessly fun experience."
Strike Galaxy Attack,GamePix,arcade,https://play.gamepix.com/strike-galaxy-attack/,https://play.gamepix.com/strike-galaxy-attack/embed?sid=U274U,"Take command of a lone, powerful spaceship in Strike Galaxy Attack. Dodge and weave through endless waves of colorful space birds while unleashing streams of gunfire. Collect upgrades to enhance your ship and outmaneuver enemies as you aim to dominate the galaxy in this thrilling 2D arcade shooter."
Commando Force 2,GamePix,first-person-shooter,https://play.gamepix.com/commando-force-2/,https://play.gamepix.com/commando-force-2/embed?sid=U274U,"Dive into high-octane action with Commando Force 2! Engage in thrilling team battles or go head-to-head in free-for-alls. Unlock rewards through the Battle Pass while mastering diverse maps and weaponry. With smooth controls, stunning graphics, and strategic gameplay, it's a shooter experience that's easy to start, challenging to master."
Bouncing Egg,GamePix,arcade,https://play.gamepix.com/bouncing-egg/,https://play.gamepix.com/bouncing-egg/embed?sid=U274U,"Guide a fragile egg through a vibrant pixel-art world, bouncing on rotating circles to smash menacing faces. With its simple tap controls and addictive gameplay, every moment demands precision, patience, and perfect timing. Can you master the escalating challenge and keep your egg intact?"
Demolition Derby Life,GamePix,racing,https://play.gamepix.com/demolition-derby-life/,https://play.gamepix.com/demolition-derby-life/embed?sid=U274U,"Plunge into the chaotic thrill of Demolition Derby Life, a high-octane derby simulator. Strategically smash your way to victory, upgrading your car while trying to outlast the competition. Experience the adrenaline rush of tactical destruction and exhilarating impacts in this immersive single-player experience. Can you survive the arena?"
Dotto Botto,GamePix,retro,https://play.gamepix.com/dotto-botto/,https://play.gamepix.com/dotto-botto/embed?sid=U274U,"Embark on an epic adventure with pixel hero Dotto Botto in this charming retro platformer. Facing hazardous spikes and deadly enemies across diverse levels, you'll jump and dodge with precision. Find power-ups, solve challenges, and prepare for a climactic showdown against a colossal final boss! Will you guide Dotto home?"
Evil Invader,GamePix,arcade,https://play.gamepix.com/evil-invader/,https://play.gamepix.com/evil-invader/embed?sid=U274U,"Evil Invader plunges you into a dystopian battlefield overrun by monstrous foes. Engage in heart-pounding, fast-paced shooting action as you fight relentless enemies with an arsenal of weapons. Strategize with power-ups, master enemy patterns, and level up to unlock devastating firepower in this intense survival challenge."
Endless Car Chase,GamePix,racing,https://play.gamepix.com/endless-car-chase/,https://play.gamepix.com/endless-car-chase/embed?sid=U274U,"Dive into the exhilarating chaos of Endless Car Chase, where evading the relentless police becomes a thrilling art. Customize your ride, collect power-ups, and master sharp maneuvers as you navigate through hectic streets. With every heart-pounding chase, design your unique escape experience while pursuing the ultimate high score."
Yummy Toast,GamePix,kids,https://play.gamepix.com/yummy-toast/,https://play.gamepix.com/yummy-toast/embed?sid=U274U,"In Yummy Toast, become the toast crafting expert in a lively kitchen setting. Quickly serve up delightful creations using a variety of ingredients to satisfy customer orders. Speed and precision are your allies as you unlock challenging levels and strive to become the ultimate toast maestro."
LOL Surprise Insta Party Divas,GamePix,kids,https://play.gamepix.com/lol-surprise-insta-party-divas/,https://play.gamepix.com/lol-surprise-insta-party-divas/embed?sid=U274U,"Unleash your creativity in LOL Surprise Insta Party Divas! Dive into a fashion adventure where you style adorable divas for a trendy Insta party. With user-friendly controls, explore endless wardrobe and makeover options, making each choice an exciting step in the story. Fashion fun for all ages!"
War of Tanks 3D,GamePix,adventure,https://play.gamepix.com/war-of-tanks-3d/,https://play.gamepix.com/war-of-tanks-3d/embed?sid=U274U,"Command your tank in intense battles where strategy and precision are key. Navigate dynamic terrains, meticulously aim your cannons, and tactically outmaneuver your foes. Fast-paced action awaits as you strive to dominate the battlefield, mastering your tank’s firepower while leveraging the environment for ultimate victory."
Idle Craft 3D,GamePix,idle,https://play.gamepix.com/idle-craft-3d-1/,https://play.gamepix.com/idle-craft-3d-1/embed?sid=U274U,"Rebuild your home in Idle Craft 3D where you recruit workers and summon elders to manage fatigue. Enjoy a vibrant 3D world and continuous progress, even when idle. Strategize wisely to enhance your workforce, master resource balance, and marvel at the satisfying transformation around you."
Robo-Butcher,GamePix,robots,https://play.gamepix.com/robo-butcher/,https://play.gamepix.com/robo-butcher/embed?sid=U274U,"Engage in relentless 2D platform-arena battles as a humanoid robot, striving for supremacy. Outmaneuver and obliterate waves of robotic adversaries with tactical agility. Upgrade your arsenal, seize power-ups from crates, and strategically exploit enemy weaknesses for a thrilling test of endurance and skill."
Val d'Agri Race,GamePix,car,https://play.gamepix.com/val-d-agri-race/,https://play.gamepix.com/val-d-agri-race/embed?sid=U274U,"Race through lively Viggiano streets, dodging traffic and escaping patrols in Val d' Agri Race. Collect coins to unlock and customize flashy cars, harness temporary powers, and cause thrilling destruction to access exclusive rides. Experience heart-pounding action in every high-speed chase."
Face Breaker,GamePix,ball,https://play.gamepix.com/face-breaker/,https://play.gamepix.com/face-breaker/embed?sid=U274U,"Face Breaker challenges your reflexes in a dynamic arcade puzzle setting. Control a paddle to keep a quirky square-face-ball in play, crushing blocks through 45 escalating levels. With each bounce, the speed surges, testing your timing and strategy in this riveting race against the clock!"
Spider Evolution Runner Game,GamePix,runner,https://play.gamepix.com/spider-evolution-runner-game/,https://play.gamepix.com/spider-evolution-runner-game/embed?sid=U274U,"Embark on a thrilling journey as a spider in this dynamic 3D runner. Consume insects and smaller spiders to grow larger, navigate challenging terrains, and dodge threats. Explore vibrant landscapes as you strategize your survival and aim to become the realm's biggest spider. Ready for a bite-sized adventure?"
Merge Battle Tactics,GamePix,fighting,https://play.gamepix.com/merge-battle-tactics/,https://play.gamepix.com/merge-battle-tactics/embed?sid=U274U,"Summon and merge creatures in a captivating fantasy realm where strategy is your ally. Engage in thrilling battles by combining monsters to create powerful warriors, balance your forces on the battlefield, and earn coins to expand your ranks. Will your tactical prowess lead you to victory?"
Catch Huggy Wuggy!,GamePix,adventure,https://play.gamepix.com/catch-huggy-wuggy/,https://play.gamepix.com/catch-huggy-wuggy/embed?sid=U274U,"Catch Huggy Wuggy! plunges you into a suspenseful factory nightmare where your goal is to capture monstrous toys. Armed with a GrabPak, navigate treacherous paths, dodge hazards, and strike fast and precise against relentless foes in this thrilling rail shooter experience. Can you outmaneuver the terrifying blue menace?"
Perimeter - Legate Edition,GamePix,strategy,https://play.gamepix.com/perimeter/,https://play.gamepix.com/perimeter/embed?sid=U274U,"Command the Exodus civilization in a groundbreaking RTS where strategic terraforming reshapes battlefields. Build defensive perimeters and seize territories in a dynamic, evolving environment. Adapt, survive, and lead your people to victory in a world where earth's future rests in your hands."
LOL Surprise Fresh Spring Look,GamePix,kids,https://play.gamepix.com/lol-surprise-fresh-spring-look/,https://play.gamepix.com/lol-surprise-fresh-spring-look/embed?sid=U274U,"Unleash your creativity as a fashion guide in LOL Surprise Fresh Spring Look. Style the LOL Surprise Girls with vibrant outfits, blending bold colors and unique accessories. Drag and drop to craft each girl's unique ensemble, capturing the essence of spring with ease and flair."
BattleBox,GamePix,board,https://play.gamepix.com/battlebox/,https://play.gamepix.com/battlebox/embed?sid=U274U,"Unearth hidden treasures while sidestepping treacherous monsters in BattleBox, a thrilling puzzle adventure that will challenge your memory and wits. Strategize and recall the secret grid layout, aiming for riches while avoiding peril. Survive by maintaining your health with handy strawberries, ensuring every play is an exciting discovery."
Match Mystery,GamePix,match-3,https://play.gamepix.com/match-mystery/,https://play.gamepix.com/match-mystery/embed?sid=U274U,"Immerse yourself in Match Mystery, a match-3 puzzle adventure with endless challenges and a captivating storyline. Dive into stunning visuals, where each strategic move unravels new plots. With infinite levels and increasing difficulty, it's a delightful test of your puzzle-solving skills. Perfect for all ages seeking brain-teasing fun."
Ultimate Flying Car,GamePix,sports,https://play.gamepix.com/ultimate-flying-car/,https://play.gamepix.com/ultimate-flying-car/embed?sid=U274U,"Race at breakneck speeds and soar through the skies in Ultimate Flying Car. Merge reality with fantasy as you navigate urban landscapes in sleek, aerodynamic vehicles. Challenge friends in thrilling multiplayer races, and explore expansive environments in style with daring stunts and strategic use of power boosts."
Cat Clicker,GamePix,animal,https://play.gamepix.com/cat-clicker/,https://play.gamepix.com/cat-clicker/embed?sid=U274U,"Create an enchanting world of endless cuteness with Cat Clicker. Start by crafting cat bubbles with each click, and watch your feline universe multiply with strategic upgrades and resets. Fast-paced progression and adorable charm await in this delightful clicker adventure. Ready to bubble over with fun?"
Boing Bang,GamePix,retro,https://play.gamepix.com/boing-bang/,https://play.gamepix.com/boing-bang/embed?sid=U274U,"Boing Bang tosses you into frenetic action as you control a quirky creature armed with a blaster. Navigate through bouncing chaos, shatter massive balls into pieces, and use platforms strategically. With unpredictable bouncing patterns to master and survival at stake, every shot counts in this thrilling arcade adventure."
Drunken Boxing 2,GamePix,fighting,https://play.gamepix.com/drunken-boxing-2/,https://play.gamepix.com/drunken-boxing-2/embed?sid=U274U,"Step into chaos with Drunken Boxing 2, where intoxicated stickmen clash in strategic bouts of reflex and endurance. With glistening 3D visuals, vibrant animations, and adrenaline-pumping action, battle solo or with friends for a uniquely boozy arcade experience where energy management is the key to victory."
Worms Zone,GamePix,snake,https://play.gamepix.com/worms-zone/,https://play.gamepix.com/worms-zone/embed?sid=U274U,"Worms Zone combines the classic Snake experience with vibrant twists, where worms devour their way to gigantism. Navigate through colorful zones, grow faster, and customize your worm. Balance speed and strategy to avoid rivals, collect power-ups, and emerge as the longest worm. Slither, compete, and claim worm supremacy!"
Super Billy Boy,GamePix,platformer,https://play.gamepix.com/super-billy-boy/,https://play.gamepix.com/super-billy-boy/embed?sid=U274U,Embark on a thrilling journey with Super Billy Boy as you navigate a pixelated world filled with traps and alien foes. Rescue your friend by mastering platformer challenges that demand precision and clever strategies. Dive into this nostalgic adventure where each level brings new excitement and unexpected twists.
The Room,GamePix,shooter,https://play.gamepix.com/the-room/,https://play.gamepix.com/the-room/embed?sid=U274U,"The Room immerses you in intense, nostalgic 2D shooter action as you defend your domain's heart against relentless enemy waves. Precision, strategy, and quick reflexes are key. With intuitive controls and a charming pixel art style, each escalating challenge delivers adrenaline-fueled excitement and addictive gameplay."
Golf Orbit,GamePix,golf,https://play.gamepix.com/golf-orbit/,https://play.gamepix.com/golf-orbit/embed?sid=U274U,"Unleash your inner golfer with Golf Orbit, a dynamic twist on traditional golf. Master the power meter to blast balls through zany courses, overcoming quirky obstacles. Customize your golfer, earn rewards, and test your strength as you aim for the green, all with a light-hearted, entertaining spin."
Magikmon,GamePix,monster,https://play.gamepix.com/magikmon/,https://play.gamepix.com/magikmon/embed?sid=U274U,"Embark on a fantastical journey in Magikmon, where you capture and train quirky creatures to build your ultimate monster team. Engage in thrilling battles, exploring a magical world brimming with adventure and surprises. Immerse yourself in this delightful RPG experience and discover the joy of strategy and exploration."
Bouncing Bug,GamePix,animal,https://play.gamepix.com/bouncing-bug/,https://play.gamepix.com/bouncing-bug/embed?sid=U274U,"Help a quirky bug navigate its way through a bouncy box filled with lurking monsters. Skillfully change its direction to dodge threats while snatching shiny treasures and tasty treats to survive. Test your reflexes in this dynamic, gravity-defying adventure and unlock a variety of bug companions."
Robot Police Iron Panther,GamePix,kids,https://play.gamepix.com/robot-police-iron-panther/,https://play.gamepix.com/robot-police-iron-panther/embed?sid=U274U,"Construct your battle-ready Iron Panther to fend off alien invasions in a captivating blend of engineering and combat strategy. Immersive gameplay challenges your tactical skills as you enhance your robot and decipher enemy attack patterns to protect Earth in intense, visually striking battles. Will your strategies secure survival?"
Among at Easter,GamePix,arcade,https://play.gamepix.com/among-at-easter/,https://play.gamepix.com/among-at-easter/embed?sid=U274U,"In Among at Easter, step into the shoes of a cunning impostor in a vibrant, festive setting. Master deception by blending in, sabotaging, and eliminating crewmates without leaving a trace. Navigate the 2D world stealthily, practicing strategic moves to avoid detection or risk ejection and losing the game."
DTA 6,GamePix,action,https://play.gamepix.com/dta-6/,https://play.gamepix.com/dta-6/embed?sid=U274U,"Dive into the chaotic sandbox of DTA 6, a browser-based adventure where your only limits are your imagination and limb control. Explore a surreal world filled with meme-talking ragdolls, gather an arsenal of weapons, and let loose in a city that's yours for the taking."
Snail Clicker,GamePix,clicker,https://play.gamepix.com/snail-clicker/,https://play.gamepix.com/snail-clicker/embed?sid=U274U,"Click your way to snail supremacy! Multiply snail coins and climb the ranks by unlocking exciting upgrades and skins. With every click, enhance your snail empire in this addictive and charming clicking adventure."
Basketball Stars,GamePix,sports,https://play.gamepix.com/basketball-stars/,https://play.gamepix.com/basketball-stars/embed?sid=U274U,"Experience the thrill of comical, fast-paced basketball action in Basketball Stars. Duel as iconic NBA players in competitive one-on-one or two-on-two matches. Share the keyboard with a friend for intense local play or challenge AI opponents. Master keyboard controls to shoot, steal, and slam dunk your way to victory!"
Fractal Combat X,GamePix,shooter,https://play.gamepix.com/fractal-combat-x/,https://play.gamepix.com/fractal-combat-x/embed?sid=U274U,"Pilot advanced jets in Fractal Combat X, where speed and strategy define your aerial combat missions on foreign planets. Upgrade your aircraft, master evasive maneuvers, and engage in thrilling battles to unlock new jets and skills in immersive 3D. Can you dominate the skies with precision and power?"
Speakerman Revenge,GamePix,action,https://play.gamepix.com/spekerman-revenge/,https://play.gamepix.com/spekerman-revenge/embed?sid=U274U,"Unleash sonic fury in Speakerman Revenge, a wild clicker game where you battle foes from a toilet seat! Harness rhythmic taps to launch devastating sound waves, upgrade your speakers, and overcome relentless challenges in this uniquely bizarre setting. Can you master the tempo for ultimate victory?"
Battle Simluator - Counter Stickman,GamePix,mobile,https://play.gamepix.com/counter-stickman/,https://play.gamepix.com/counter-stickman/embed?sid=U274U,"Counter Stickman thrusts you into a world of strategic warfare, commanding stickman soldiers in 3D battles. Navigate dynamic terrains with tactical maneuvers and precision shooting. Each level raises the stakes with unique environments and pulse-pounding techno beats, challenging your strategic prowess to secure victory and peace."
Kobadoo Arithmetic,GamePix,math,https://play.gamepix.com/kobadoo-arithmetic/,https://play.gamepix.com/kobadoo-arithmetic/embed?sid=U274U,"Sharpen your mind with Kobadoo Arithmetic, a captivating number challenge that enhances math skills and memory. Memorize sequences, calculate sums, and tackle increasingly complex levels. This scientifically designed game offers a simple yet stimulating experience that boosts cognitive abilities while keeping players engaged and entertained."
In Space,GamePix,adventure,https://play.gamepix.com/in-space/,https://play.gamepix.com/in-space/embed?sid=U274U,"Brace yourself for action-packed survival as an elite soldier in the cosmic chaos of ""In Space."" Armed with futuristic weaponry, battle relentless alien swarms in a thrilling 2D top-down universe. Strategize, upgrade, and persevere to outlast evolving threats while navigating the infinite dangers of the starscape."
World of WarTanks,GamePix,tanks,https://play.gamepix.com/world-of-wartanks/,https://play.gamepix.com/world-of-wartanks/embed?sid=U274U,"Command powerful war machines and dominate the battlefield in World of WarTanks. Engage in high-octane battles, completing diverse missions to earn stars and upgrade your tanks. Master strategic movement and aim for enemy weak spots to ensure victory in exhilarating survival and team warfare modes."
